country_id,country_name,country_logo
115,Uruguay,https://apiv3.apifootball.com/badges/logo_country/115_uruguay.png
114,USA,https://apiv3.apifootball.com/badges/logo_country/114_usa.png
116,Uzbekistan,https://apiv3.apifootball.com/badges/logo_country/116_uzbekistan.png
117,Venezuela,https://apiv3.apifootball.com/badges/logo_country/117_venezuela.png
118,Vietnam,https://apiv3.apifootball.com/badges/logo_country/118_vietnam.png
128,Waff Championship,https://apiv3.apifootball.com/badges/logo_country/128_waff-championship.png
119,Wales,https://apiv3.apifootball.com/badges/logo_country/119_wales.png
133,World,https://apiv3.apifootball.com/badges/logo_country/133_world.png
166,World cup,https://apiv3.apifootball.com/badges/logo_country/166_world-cup.png
8,Worldcup,
120,Zambia,https://apiv3.apifootball.com/badges/logo_country/120_zambia.png
121,Zimbabwe,https://apiv3.apifootball.com/badges/logo_country/121_zimbabwe.png
